objective,ann_return_pit,active_ann_return_pit,downside_capture_pit,maxdd_loss_pit,cvar_loss_pit,ann_return_current,active_ann_return_current,downside_capture_current,maxdd_loss_current,cvar_loss_current,ann_return_delta_current_minus_pit,active_ann_return_delta_current_minus_pit,downside_capture_delta_current_minus_pit,maxdd_loss_delta_current_minus_pit,cvar_loss_delta_current_minus_pit,survivorship_inflation_flag
capital_preservation_policy,0.1921776712559804,0.0825867148551255,0.8681888452683959,0.0348609674822649,0.0122753195007792,0.2012616776479583,0.0901984093227734,0.8428658757024148,0.0355769619805928,0.0126342831695075,0.0090840063919779,0.007611694467647895,-0.025322969565981124,0.0007159944983278974,0.0003589636687283005,False
tail_pso_xodr_v1_policy,0.196067480070152,0.0864765236692972,0.8691183099823602,0.0352048893485095,0.0124607502857312,0.2053819483541113,0.0943186800289265,0.8450616985482122,0.0358478840159029,0.0127834748238206,0.009314468283959293,0.007842156359629301,-0.024056611434147945,0.0006429946673933984,0.00032272453808939935,False
pso_state_xodr_v1_policy,0.1975511617305236,0.0879602053296688,0.8693672037786723,0.0355722349084758,0.0125220836464015,0.2110686511242895,0.1000053827991047,0.8516311634064615,0.036235692777439,0.0129314631387827,0.013517489393765902,0.012045177469435897,-0.01773604037221077,0.0006634578689631992,0.0004093794923811997,True
state_xodr_v1_policy,0.1992792948388148,0.0896883384379599,0.8680186031245299,0.0356258293233639,0.012550286768585,0.2105614957955499,0.099498227470365,0.8497619666105073,0.0362931604986901,0.0129182008653856,0.0112822009567351,0.009809889032405109,-0.01825663651402265,0.0006673311753261982,0.0003679140968005992,False
downside_preserving_growth_policy,0.1989883644426273,0.0893974080417724,0.8667858777269208,0.0355339738105921,0.0126519943886984,0.2112325449732598,0.100169276648075,0.8441406824506916,0.036161201320309,0.0129284878719252,0.012244180530632504,0.010771868606302595,-0.022645195276229213,0.0006272275097169017,0.00027649348322679977,True
state_optimized_xcdr_v3_policy,0.2018969096999976,0.0923059532991427,0.8654987092235009,0.0356250010665805,0.0126100194391515,0.2092319060745365,0.0981686377493517,0.8501639037009868,0.036505613559731,0.0130080644432658,0.00733499637453891,0.005862684450208988,-0.015334805522514094,0.0008806124931504955,0.00039804500411430056,False
enhanced_growth_xodr_v1_policy,0.2016522436369495,0.0920612872360946,0.8672557604933891,0.0355303915731702,0.0125534718009354,0.2102376907982958,0.099174422473111,0.8468434607478535,0.0360973456310021,0.0128907015558299,0.008585447161346293,0.007113135237016413,-0.0204122997455356,0.0005669540578319004,0.00033722975489450073,False
risk_anchor_tail_pso_xodr_v1_policy,0.1831731719960105,0.0735822155951557,0.7940616571993295,0.0328751182585476,0.0115399904403486,0.195459073479484,0.0843958051542991,0.7639827475865923,0.0333099945539762,0.0117525575180716,0.0122859014834735,0.01081358955914341,-0.03007890961273718,0.00043487629542859896,0.00021256707772300022,True
enhanced_growth_anchor_xodr_v1_policy,0.1901465422432376,0.0805555858423828,0.7977939065554273,0.0330907194305397,0.0116894372910087,0.2016071818572919,0.090543913532107,0.7746802436899268,0.033734443107984,0.0119712458891799,0.011460639614054302,0.0099883276897242,-0.02311366286550043,0.0006437236774443009,0.0002818085981711998,False
fundamental_real_upside_anchor_dd_budget_policy,0.1932780491555377,0.0836870927546828,0.7498772957470882,0.0315718612116453,0.0115117882101723,0.2120377761699818,0.100974507844797,0.6942530834564953,0.0321759578538006,0.0120101867548749,0.01875972701444409,0.017287415090114208,-0.05562421229059289,0.0006040966421552996,0.0004983985447025996,True
upside_convex_anchor_dd_budget_policy,0.1920876850677264,0.0824967286668716,0.7550344496514564,0.0319404602441678,0.0113730446522211,0.2124030561796427,0.1013397878544579,0.6913509372458296,0.0320785905355583,0.0116750242387462,0.02031537111191631,0.01884305918758629,-0.06368351240562675,0.0001381302913905022,0.00030197958652510015,True
xcdr_v3_growth_control_policy,0.2133637738142295,0.1037728174133747,0.8583993489402305,0.0375316146384778,0.013260331546339,0.2313638350626569,0.120300566737472,0.835048409944789,0.0382004590160709,0.0135613473921742,0.0180000612484274,0.0165277493240973,-0.023350938995441495,0.0006688443775930974,0.00030101584583520045,True
enhanced_growth_anchor_crash_budget_policy,0.1873671578779314,0.0777762014770765,0.7995943106307508,0.0332476979900447,0.0116916779524835,0.1985839055627139,0.087520637237529,0.7741303822586236,0.0337449479804421,0.0119495115320697,0.011216747684782508,0.009744435760452488,-0.025463928372127187,0.0004972499903974012,0.00025783357958620093,False
enhanced_growth_anchor_dd_control_policy,0.1873671578779314,0.0777762014770765,0.7995943106307508,0.0332476979900447,0.0116916779524835,0.1985839055627139,0.087520637237529,0.7741303822586236,0.0337449479804421,0.0119495115320697,0.011216747684782508,0.009744435760452488,-0.025463928372127187,0.0004972499903974012,0.00025783357958620093,False
tail_aware_anchor_dd_budget_policy,0.1889677608513776,0.0793768044505228,0.7708577302339489,0.0322501915631304,0.0115064383749169,0.19326373722296,0.0822004688977751,0.741017423666255,0.0326267326265271,0.0117789472057612,0.004295976371582411,0.002823664447252308,-0.029840306567693875,0.0003765410633966987,0.00027250883084429904,False
balanced_anchor_xodr_v1_policy,0.1939296284864852,0.0843386720856303,0.8025192479357122,0.0338753130973943,0.0119402243294289,0.206605674887388,0.0955424065622032,0.7773334482930958,0.0342455488893721,0.0121023557947538,0.012676046400902807,0.011203734476572899,-0.025185799642616358,0.0003702357919777993,0.00016213146532489953,True
fundamental_upside_convex_anchor_dd_budget_policy,0.1962373666033583,0.0866464102025034,0.7453407609682408,0.0318534012068875,0.0113719641065095,0.2115535982153676,0.1004903298901828,0.7009971534549209,0.032067199268212,0.0116200704684864,0.01531623161200929,0.01384391968767941,-0.044343607513319894,0.0002137980613245022,0.00024810636197690125,True
tail_convex_anchor_dd_budget_policy,0.1882376663895693,0.0786467099887144,0.7573457871247188,0.0316913147021073,0.0113545688127202,0.1984236159407306,0.0873603476155458,0.7130361867617343,0.0320098239852935,0.0116098500911028,0.01018594955116131,0.008713637626831403,-0.04430960036298448,0.00031850928318619826,0.0002552812783825995,False
enhanced_growth_anchor_dd_budget_policy,0.1960641391812541,0.0864731827803993,0.778545674970801,0.0331892888108443,0.0118124320811251,0.2125428627280449,0.10147959440286,0.7469740312972917,0.0328765718203887,0.0118500536706135,0.016478723546790808,0.015006411622460705,-0.031571643673509286,-0.0003127169904555971,3.7621589488400636e-05,True
fundamental_upside_recovery_anchor_dd_budget_policy,0.199726303159156,0.0901353467583011,0.7519540002184893,0.0321524408515056,0.0114450594816766,0.2175062536566637,0.1064429853314788,0.7065795920671127,0.0324236275614621,0.0116789125205769,0.01777995049750772,0.016307638573177713,-0.04537440815137661,0.00027118670995650296,0.00023385303890030053,True
