"train_start","train_end","validation_start","validation_end","test_start","test_end","objective","xi","ticker","weight","n_assets","max_weight","state_label","state_stress","state_risk_on","state_recovery","val_growth_mass","val_alpha_signal_mass","budget_min_exposure","budget_rerisk_step","budget_dd_soft_shift","budget_dd_hard_gap","budget_vol_target_shift","overlay_anchor_kind","universe_raw_count","universe_broad_count","universe_selected_count","universe_selected_avg_opportunity_score","universe_selected_avg_fundamental_confidence","universe_selected_tail_admissible_rate"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","MO","0.06271254586205628","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","WELL","0.060953377330379664","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","LHX","0.056975334241586614","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","KO","0.05474495166982076","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","SO","0.05200621476168817","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","JNJ","0.050911346693547826","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","EBAY","0.050900438563494174","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","TEL","0.050096963556640464","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","RTX","0.04920463396377424","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","CAH","0.04916035644671766","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","CNP","0.04844262920089642","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","ALLE","0.0457557798033786","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","MSFT","0.04485062729959979","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","MNST","0.04277392384768228","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","GE","0.04148497209039242","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","APH","0.03798989627395372","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","EA","0.03446595105143774","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","INTU","0.02561579397050131","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","SHY","0.022893569404074818","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","UUP","0.022893569404074818","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","IEF","0.022659904640224788","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","GLD","0.020368153760605957","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","STX","0.017869238607829893","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","NEM","0.013195891625062937","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","DBC","0.012941092456899487","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","enhanced_growth_anchor_dd_budget_policy","USMV","TLT","0.008132843473679246","26","0.06271254586205628","expansion","0.5604639112504212","1.0","0.0","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0"
